"id_marine";"identifier";"mmsi";"name";"flag";"type";"length";"port";"col11";"col12";"col13";"col14";"col15"
"1993";"661017";"431001257";"FUYOU MARU NO.6";"JP";"7";"98";"JP HKP OFF";"16";"72";"2";"93";"0"
"1994";"459881";"371050000";"TAOKAS WISDOM";"PA";"7";"176";"TAICANG/CHINA";"29";"155";"16";"257";"0"
"1995";"753384";"636012253";"YM FOUNTAIN";"LR";"7";"275";"PRR";"40";"183";"20";"56";"0"
"1996";"664243";"431600209";"CHISIMAMARU";"JP";"7";"115";"JP HKP OFF";"18";"90";"14";"287";"0"
"1997";"753668";"538005888";"YM UNISON";"MH";"7";"336";"PUSAN";"43";"246";"26";"266";"0"
"1998";"664816";"431861000";"HAKUOU";"JP";"6";"199";"JP TMK/WM";"25";"33";"8";"29";"0"
"1999";"465804";"373901000";"BLACK DRAGON";"PA";"8";"80";"JP KUH";"14";"60";"4";"264";"0"
"2000";"211632";"239874000";"ANGELIC PEACE";"GR";"7";"225";"BAYUQUAN";"32";"198";"10";"235";"0"
"2001";"661449";"431003074";"SUNNY NOAH";"JP";"8";"110";"JP TXD OFF";"17";"88";"3";"229";"0"
"2002";"664772";"431800405";"HOKUJUMARU";"JP";"8";"70";"JP RMI OFF";"12";"52";"3";"250";"0"
"2003";"661913";"431004648";"HACHIHANA MARU";"JP";"7";"83";"JP KNM OFF";"14";"70";"5";"237";"0"
"2004";"662485";"431100871";"PACIFIC SEAGULL";"JP";"7";"127";"JP HKP OFF";"21";"101";"11";"222";"-720"
"2005";"1334202";"431005927";"GYOKO MARU";"JP";"7";"115";"JP HKP XX";"20";"86";"4";"189";"0"
"2006";"401627";"339300770";"DONGCHENG 7";"JM";"7";"84";"JP HAKODATE";"15";"68";"7";"139";"-720"
"2007";"663840";"431500199";"YUTAKA MARU";"JP";"8";"71";"JP HKP OFF";"12";"56";"3";"310";"0"
"2008";"660908";"431000972";"SYUEIMARU";"JP";"8";"79";"JP AOM OFF";"12";"63";"9";"170";"0"
"2009";"347878";"273344710";"ICE BREEZE";"RU";"7";"95";"BERING SEA";"17";"72";"14";"90";"0"
"2010";"700683";"514618000";"GAIN OCEAN";"KH";"7";"66";"JP SGM";"13";"84";"8";"115";"0"
"2011";"3422431";"431006388";"SEITOKU MARU";"JP";"0";"71";"JP MUR OFF J2";"11";"57";"3";"332";"-720"
"2012";"685963";"477163200";"CSC CRYSTAL";"HK";"8";"185";"MURORAN JP";"32";"151";"7";"336";"0"
"2013";"665282";"432634000";"ENERGY NAVIGATOR";"JP";"8";"290";"RU PGN";"49";"233";"32";"275";"0"
"2014";"464942";"373395000";"ANGEL BLUE";"PA";"8";"75";"JP TMK";"12";"62";"2";"54";"0"
"2015";"358767";"303584000";"MAUNALEI";"US";"7";"207";"LONG BEACH";"32";"190";"14";"57";"0"
"2016";"662890";"431300018";"KANYO MARU";"JP";"7";"115";"JP HKP OFF";"18";"94";"11";"282";"0"
"2017";"409308";"352261000";"OAKLAND";"PA";"7";"154";"JP OSA";"26";"129";"9";"54";"0"
"2018";"419167";"356706000";"ITAL MELODIA";"PA";"7";"264";"PUSAN KOREA";"32";"192";"16";"264";"0"
"2019";"701507";"515986000";"KINTEKI MARU";"KH";"7";"75";"KORSAKOV";"12";"55";"6";"95";"0"
"2020";"3351031";"372055000";"CREST TRADER";"PA";"7";"225";"JP TMK";"31";"193";"21";"48";"0"
"2021";"348101";"273349630";"ZODIAK";"RU";"7";"63";"NEVELSK";"11";"40";"6";"271";"0"
"2022";"415972";"355113000";"HANJIN MARINE";"PA";"7";"249";"KRPUS";"38";"189";"24";"264";"0"
"2023";"410810";"352946000";"GLORIOUS EARTH";"PA";"7";"157";"RU NJK";"27";"134";"18";"296";"0"
"2024";"376620";"312107000";"GUOHONG";"BZ";"7";"88";"SHANGHAI CN";"14";"75";"6";"228";"0"
"2025";"348054";"273348520";"PAVLOVSK";"RU";"7";"85";"ISHIKARI";"13";"71";"4";"269";"-720"
"2026";"455153";"368684000";"APL PHILIPPINES";"US";"7";"276";"USA SAN PEDRO";"40";"195";"20";"53";"0"
"2027";"688233";"477595200";"SILVER SMOOTH";"HK";"7";"110";"JP TOBATA";"20";"89";"15";"51";"0"
"2028";"3530982";"412439617";"YONG FA NO.5";"CN";"0";"0";"";"0";"0";"0";"55";"720"
"2029";"665397";"432732000";"JP CORAL";"JP";"7";"228";"JP TBN";"37";"197";"22";"87";"0"
"2030";"348204";"273351000";"IVAN ZHDANOV";"RU";"7";"140";"RU KHO";"16";"119";"9";"101";"0"
"2031";"465758";"373877000";"DL PANSY";"PA";"7";"190";"USA,OAKLAND";"33";"160";"10";"58";"0"
"2032";"755887";"636015908";"DANHIL";"LR";"7";"229";"VANCOUVER CANADA";"32";"194";"11";"55";"0"
"2033";"3580515";"412439618";"YONG FA NO3";"CN";"0";"0";"";"0";"0";"0";"62";"0"
"2034";"1440454";"538005733";"SAN FELIX";"MH";"7";"300";"LONG BEACH";"44";"225";"33";"50";"0"
"2035";"662502";"431100931";"KYOKUHOU MARU";"JP";"8";"105";"JP AFG E OFF";"16";"79";"4";"282";"0"
"2036";"345901";"273312860";"GARMONIYA";"RU";"7";"103";"UKE";"17";"74";"8";"269";"0"
"2037";"726736";"563618000";"TENMYO MARU";"SG";"7";"190";"MANZANILLO MEXICO";"32";"168";"20";"61";"0"
"2038";"3727177";"412440515";"FU YUAN YU YUN 65";"CN";"0";"97";"";"20";"70";"10";"55";"0"
"2039";"662587";"431101164";"KYOKUSEIMARU";"JP";"8";"105";"JP AKADOMARI OFF";"16";"79";"11";"235";"-720"
"2040";"663623";"431401856";"HAKUOU MARU";"JP";"8";"74";"JP RYO OFF";"12";"63";"3";"234";"720"
"2041";"755057";"636014894";"SOLAR AFRICA";"LR";"7";"190";"CANADA ROBERTS BANK";"32";"163";"19";"55";"0"
"2042";"3445514";"431006385";"TSURUGA";"JP";"6";"179";"JP TRG";"27";"27";"13";"237";"0"
"2043";"661799";"431004235";"KAKUSEI MARU";"JP";"8";"105";"JP AFG OFF";"16";"88";"5";"54";"0"
"2044";"686355";"477207400";"CSAV LONCOMILLA";"HK";"7";"261";"ENSENADA";"32";"192";"25";"52";"0"
